True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.097653256,31.74362946,28.64376068,-0.08870025,28.92796207
-0.092775658,31.59944916,28.66778946,-0.082074,29.0059564
-0.115124155,31.93586922,28.25927925,-0.07544712,29.52639916
-0.121914713,32.12810898,28.21121979,-0.113864586,28.46985468
-0.119940004,32.05601883,28.21121979,-0.10668284,28.6361918
-0.139776982,32.32035065,27.80270958,-0.09989008,29.09186718
-0.131500722,32.34437943,28.09107018,-0.1337114,28.01956725
-0.164212084,32.63274002,27.27404976,-0.12632574,28.51038543
-0.175295869,32.48855972,26.7934494,-0.11937846,28.6101259
-0.184229961,32.60871124,26.60120964,-0.16997093,27.06617828
-0.15845338,31.69556999,26.67329979,-0.16205351,26.55919113
-0.165658075,31.76766014,26.50509071,-0.154639,26.85514076
-0.177695157,32.32035065,26.57718086,-0.17250594,26.74489706
-0.221068249,32.3924408,25.23150063,-0.16441764,27.06655263
-0.221323588,32.68080139,25.44776917,-0.15669279,27.55995502
-0.207898671,32.2482605,25.54389,-0.20112297,25.76239363
-0.235335677,34.00244904,26.00045967,-0.19333687,27.42852284
-0.231263402,33.66603088,25.88031006,-0.18508172,27.43506397
-0.235166462,33.20946121,25.3997097,-0.21098956,26.20261046
-0.232846748,32.92110062,25.2555294,-0.20113495,26.29951768
-0.23486505,32.94512939,25.20746994,-0.19215679,26.61449902
-0.261939271,33.20946121,24.51059914,-0.23068564,25.54851502
-0.250549452,32.8009491,24.58268929,-0.2207022,25.56170841
-0.262730624,32.56064987,24.00597,-0.21108006,25.68774548
-0.269259026,32.75289154,23.93387985,-0.2550558,24.39907707
-0.280791823,32.77692032,23.57342911,-0.24359576,24.79260088
-0.289512596,32.53662109,23.11685944,-0.23353969,24.93802835
-0.263432834,32.20019913,23.71760941,-0.26968008,23.51644676
-0.223241586,31.43124008,24.41448021,-0.25831002,23.31223583
-0.236419288,31.4072094,23.98193932,-0.24834977,23.60723567
-0.240769257,31.23900032,23.71760941,-0.22193192,24.30606855
-0.255023158,31.09482002,23.16492081,-0.2109107,24.53659045
-0.237460815,30.66227913,23.38118935,-0.20173787,24.47653592
-0.23690383,30.73436928,23.4532795,-0.2290176,23.69565732
-0.218454235,30.47003937,23.81373024,-0.21981719,23.7722018
-0.2472,30.03750038,22.6122303,-0.21018402,23.72409727
-0.188405799,29.84526062,24.22224045,-0.23014419,22.97654691
-0.248811408,30.32585907,22.78043938,-0.21854447,23.69830987
-0.24583666,30.30183029,22.85252953,-0.20985459,23.94285173
-0.255200037,30.03750038,22.37192917,-0.22678278,23.22551198
-0.242351052,29.84526062,22.6122303,-0.2171016,23.36580756
-0.230204101,29.43675041,22.66028976,-0.20804812,23.31249026
-0.239540602,29.29257011,22.27581024,-0.21748757,22.92180011
-0.251437954,29.24451065,21.89133072,-0.20800409,23.16153203
-0.253101793,29.05227089,21.69908905,-0.1986158,23.28203117
-0.27611944,28.98018074,20.97818947,-0.24053772,22.00935463
-0.316666699,28.83600044,19.70459938,-0.23039226,22.19240863
-0.32529115,28.88405991,19.48833084,-0.22092278,22.50291344
-0.30936455,28.73987961,19.84877968,-0.30730563,19.90795268
-0.256711401,28.64376068,21.29058075,-0.29549617,20.17963923
